date,ASML,AVGO,EQIX,GOOGL,ISRG,JPM,LIN,LLY,MSFT,NVO,PLD,RELX,ROP,SPGI,SPY,TDG,TSM,UNH
2024-05-01,-0.0224992878,-0.0441521820,-0.0221907292,0.0066347514,0.0029140821,0.0006258941,0.0037644993,-0.0055692189,0.0144093440,0.0070142534,-0.0016658622,0.0009711947,0.0064522083,0.0008898949,-0.0032470889,0.0010336060,-0.0174749243,0.0008475829
2024-05-02,0.0204493973,-0.0034517608,0.0048466079,0.0168436801,0.0160074832,-0.0010425320,-0.0519631975,-0.0268297022,0.0073428532,-0.0401672286,0.0260109090,0.0124313287,-0.0076540272,0.0018259726,0.0093532811,0.0179778623,0.0095599205,0.0183016377
2024-05-03,0.0360228482,0.0319238962,0.0021182028,0.0037211113,0.0098238886,-0.0060002131,0.0094848182,-0.0277017466,0.0221698218,-0.0078212498,0.0130106365,0.0230526542,0.0125091889,0.0197141504,0.0123954839,0.0173142145,0.0391250067,-0.0010548824
2024-05-06,0.0169581496,0.0251934340,-0.0092119276,0.0051422220,0.0044315149,0.0078211379,0.0071291198,0.0431447387,0.0169181550,0.0125152189,-0.0115214111,0.0059297013,-0.0032289618,0.0013641162,0.0103268552,0.0060519792,0.0089713295,0.0039192018
2024-05-07,-0.0094882945,-0.0054947810,0.0261486308,0.0187388297,0.0146195178,-0.0013020698,0.0079228729,0.0144650541,-0.0101560464,0.0216710541,0.0295213497,0.0113181244,0.0091554824,0.0065764404,0.0011033111,0.0067377170,-0.0120421055,0.0133096348
2024-05-08,0.0035784951,0.0170822854,-0.0269149835,-0.0109197324,-0.0213045128,0.0203388384,-0.0053257082,-0.0035616711,0.0029315867,-0.0047136616,-0.0174461580,0.0011656997,0.0015184514,0.0015166565,0.0000965965,0.0035103453,0.0176456608,0.0044912922
2024-05-09,0.0022709745,-0.0148638310,0.1150839812,0.0034243172,0.0133554622,0.0094558242,0.0050268425,-0.0044515843,0.0043356632,0.0155498543,0.0214394728,0.0102470459,0.0043759366,0.0071760748,0.0057619286,0.0029353586,-0.0056406380,0.0075913525
2024-05-10,0.0183352289,0.0207784820,-0.0190954795,-0.0077075681,0.0032429627,0.0064304289,0.0105384607,-0.0149698600,0.0058691492,-0.0018654891,-0.0061027460,0.0018440518,0.0003246051,-0.0016656034,0.0012881038,-0.0063463950,0.0453113137,0.0113996378
2024-05-13,-0.0140278626,0.0035341993,0.0253536237,0.0029052056,-0.0150504452,-0.0002013060,0.0008976812,-0.0030262418,-0.0024593747,0.0310700848,0.0017676282,-0.0149562565,-0.0033235814,-0.0082489198,0.0001343225,-0.0228387500,-0.0190941871,-0.0020865156
2024-05-14,-0.0024093417,0.0317903023,0.0166434390,0.0070947564,0.0086903947,0.0139886967,-0.0061411270,0.0082881905,0.0068646768,0.0038515404,0.0055720705,0.0163513133,-0.0017825189,0.0000467375,0.0045881346,-0.0037405847,0.0378389840,0.0041818812
2024-05-15,0.0244689816,0.0406801396,0.0251448396,0.0127391946,0.0395637890,0.0029775840,-0.0029852053,0.0319138085,0.0174837647,0.0130906305,0.0157924347,0.0091931680,0.0203714222,0.0179192138,0.0123829681,0.0105269977,0.0238893172,0.0071415925
2024-05-16,-0.0190736209,-0.0167389914,-0.0125727745,0.0096806012,-0.0074113570,0.0017811836,-0.0026228923,-0.0202028399,-0.0049400028,-0.0120303561,0.0072734196,0.0002277243,0.0138489632,0.0053248615,-0.0020574269,-0.0022339039,-0.0215323674,0.0071879067
2024-05-17,0.0059052105,-0.0119253140,0.0004126913,0.0107936342,0.0060288442,0.0114584516,0.0065861731,-0.0014524871,-0.0018527335,-0.0086439997,0.0064084327,0.0034154482,0.0057351803,0.0088122793,0.0014375154,0.0043767238,-0.0036128928,0.0064457666
2024-05-20,0.0156437291,0.0134310145,-0.0056887228,0.0048845267,0.0030339287,-0.0449727583,0.0002080306,0.0171169071,0.0122082640,0.0077336999,0.0049327888,0.0011344874,0.0082673395,-0.0093690176,0.0011522820,0.0161074887,0.0123287071,-0.0141052404
2024-05-21,-0.0150833987,-0.0104877156,0.0015423337,0.0052566245,0.0051995765,0.0201450550,0.0056170327,0.0255241537,0.0086990197,0.0169289127,-0.0129407114,0.0024933140,-0.0090962955,0.0048659090,0.0024524157,0.0183430107,0.0007815114,0.0122189442
2024-05-22,-0.0031773508,-0.0049743842,-0.0136071091,-0.0082653736,-0.0030091057,-0.0060645024,-0.0005746194,-0.0003236276,0.0034493974,-0.0083606663,-0.0124773486,0.0029391764,0.0111747451,0.0055245065,-0.0028794101,-0.0079666086,0.0161383853,-0.0042022075
